region,season,phase,lag,n_days,anom_mean
west_japan,JJ,4,10,84,0.5660259196207194
west_japan,JJ,5,0,106,-0.6288785356756719
west_japan,JJ,5,5,104,0.31294717606577127
west_japan,JJ,5,10,102,-0.1308503702501234
west_japan,JJ,6,0,110,-0.9723831826259832
west_japan,JJ,6,5,102,-0.7400402709251593
west_japan,JJ,6,10,85,-2.7577928618621317
west_japan,JJ,7,0,66,-1.4035269495490759
west_japan,JJ,7,5,64,-0.79123938530907
west_japan,JJ,7,10,73,1.9858778720069759
west_japan,JJ,8,0,85,2.0939219146972334
west_japan,JJ,8,5,92,0.208158592351538
west_japan,JJ,8,10,108,0.7945052095052916
west_japan,AUG,1,0,95,1.0908659911889511
west_japan,AUG,1,5,90,0.7723084517460024
west_japan,AUG,1,10,84,-1.1488174546449554
west_japan,AUG,2,0,81,0.39584534246830605
west_japan,AUG,2,5,77,0.08446124862909891
west_japan,AUG,2,10,70,0.217940465448692
west_japan,AUG,3,0,39,-1.4503473182215074
west_japan,AUG,3,5,26,1.0787196100665348
west_japan,AUG,3,10,21,2.058761561409735
west_japan,AUG,4,0,33,1.7407685758833171
west_japan,AUG,4,5,33,1.51165679054988
west_japan,AUG,4,10,29,-1.5096356865589722
west_japan,AUG,5,0,53,0.066032392929497
west_japan,AUG,5,5,57,-0.18503494831071773
west_japan,AUG,5,10,62,-0.489837026431898
west_japan,AUG,6,0,85,-2.4506977711462135
west_japan,AUG,6,5,93,-2.056931052221827
west_japan,AUG,6,10,101,-0.2778683430057616
west_japan,AUG,7,0,34,-0.10443613987734658
west_japan,AUG,7,5,39,0.37279545160811645
west_japan,AUG,7,10,35,3.2204733131487746
west_japan,AUG,8,0,11,2.5940177428161237
west_japan,AUG,8,5,14,6.678173077009412
west_japan,AUG,8,10,17,-0.7734303025691298
okinawa,JJA,1,0,283,1.5150879735372333
okinawa,JJA,1,5,293,1.0374825967270156
okinawa,JJA,1,10,286,-0.9552055939607473
okinawa,JJA,2,0,195,-1.1634951213500657
okinawa,JJA,2,5,198,-0.8577803200932155
okinawa,JJA,2,10,191,-1.167737289505997
okinawa,JJA,3,0,111,-1.25815063271258
okinawa,JJA,3,5,104,-1.2062714265711902
okinawa,JJA,3,10,97,-1.7115084910672411
okinawa,JJA,4,0,116,-0.007608039404786698
okinawa,JJA,4,5,114,-0.3613307288194737
okinawa,JJA,4,10,113,-0.9168959666985428
okinawa,JJA,5,0,159,-0.9270914014722095
okinawa,JJA,5,5,161,-1.4483900199581052
okinawa,JJA,5,10,164,0.5034262344958845
okinawa,JJA,6,0,195,-0.23941190528660886
okinawa,JJA,6,5,195,0.16662257912544046
okinawa,JJA,6,10,186,1.471064634964223
okinawa,JJA,7,0,100,1.0191961516724617
okinawa,JJA,7,5,103,2.5965242522798437
okinawa,JJA,7,10,108,-0.15361686434074515
okinawa,JJA,8,0,96,0.29149053252920576
okinawa,JJA,8,5,106,1.0522796135630308
okinawa,JJA,8,10,125,1.037739263791599
okinawa,JJ,1,0,188,2.0592781007281413
okinawa,JJ,1,5,203,0.9007897932926705
okinawa,JJ,1,10,202,-1.1767573347466682
okinawa,JJ,2,0,114,-0.6905715207304575
okinawa,JJ,2,5,121,-0.5680572290615883
okinawa,JJ,2,10,121,-0.6809332755564536
okinawa,JJ,3,0,72,-2.1410697215831003
okinawa,JJ,3,5,78,-1.1423974266132721
okinawa,JJ,3,10,76,-1.2422120945845214
okinawa,JJ,4,0,83,0.4111525065583079
okinawa,JJ,4,5,81,-1.3524396063410216
okinawa,JJ,4,10,84,-1.5108851068190667
okinawa,JJ,5,0,106,-1.5594660562940255
okinawa,JJ,5,5,104,-1.0170155782542123
okinawa,JJ,5,10,102,-0.6480128028818574
okinawa,JJ,6,0,110,-0.9903586808372555
okinawa,JJ,6,5,102,-1.5923076785247956
okinawa,JJ,6,10,85,0.7392157347733055
okinawa,JJ,7,0,66,0.09298440769165264
okinawa,JJ,7,5,64,0.6494841288341288
okinawa,JJ,7,10,73,-1.0205371315140495
okinawa,JJ,8,0,85,0.1666889653695779
okinawa,JJ,8,5,92,0.8843304626294095
okinawa,JJ,8,10,108,1.2685022602369236
okinawa,AUG,1,0,95,0.43816436642612777
okinawa,AUG,1,5,90,1.3458007990022463
okinawa,AUG,1,10,84,-0.4224264016162927
okinawa,AUG,2,0,81,-1.8290912927880316
okinawa,AUG,2,5,77,-1.3130594553443018
okinawa,AUG,2,10,70,-2.0092127885515643
okinawa,AUG,3,0,39,0.37185384850053355
okinawa,AUG,3,5,26,-1.3978934491346469
okinawa,AUG,3,10,21,-3.4099144574471993
okinawa,AUG,4,0,33,-1.0608542909021001
okinawa,AUG,4,5,33,2.071391087302487
okinawa,AUG,4,10,29,0.8036243022836461
okinawa,AUG,5,0,53,0.33765789964549775
okinawa,AUG,5,5,57,-2.2354591684651526
okinawa,AUG,5,10,62,2.3977291582760496
okinawa,AUG,6,0,85,0.7324015522032911
okinawa,AUG,6,5,93,2.0957719093152347
okinawa,AUG,6,10,101,2.0869770978767117
okinawa,AUG,7,0,34,2.817136565234962
okinawa,AUG,7,5,39,5.791667013664543
okinawa,AUG,7,10,35,1.6545311142514354
okinawa,AUG,8,0,11,1.2558662861995529
okinawa,AUG,8,5,14,2.155945411881671
okinawa,AUG,8,10,17,-0.4282844132129397
