region,season,phase,lag,n_days,anom_mean
west_japan,JJA,2,5,77,0.04383241123879531
west_japan,JJA,2,10,89,-1.4575858534808546
west_japan,JJA,3,0,59,0.16693490419895718
west_japan,JJA,3,5,68,0.5848706593153296
west_japan,JJA,3,10,68,-0.7599616497740901
west_japan,JJA,4,0,59,2.087192170387782
west_japan,JJA,4,5,59,0.0016264444451246365
west_japan,JJA,4,10,53,1.5262335374877618
west_japan,JJA,5,0,86,0.876690907884588
west_japan,JJA,5,5,74,1.3004886784618666
west_japan,JJA,5,10,70,1.3357431309617147
west_japan,JJA,6,0,85,-1.4034390712574452
west_japan,JJA,6,5,85,-0.4623663041205965
west_japan,JJA,6,10,86,-0.05686937564902356
west_japan,JJA,7,0,75,1.4691203690748262
west_japan,JJA,7,5,81,2.0103474027624455
west_japan,JJA,7,10,90,1.5010032513463951
west_japan,JJA,8,0,70,2.9236104508663896
west_japan,JJA,8,5,75,-0.5614657725016188
west_japan,JJA,8,10,70,0.4264149643860964
west_japan,JJ,1,0,76,-1.0797090246100214
west_japan,JJ,1,5,76,2.1415548947443783
west_japan,JJ,1,10,79,0.8544193097520063
west_japan,JJ,2,0,51,1.228517384339371
west_japan,JJ,2,5,63,0.38024822140430437
west_japan,JJ,2,10,75,-1.3454123119310084
west_japan,JJ,3,0,45,0.8721514892142931
west_japan,JJ,3,5,54,0.6991507713764551
west_japan,JJ,3,10,54,-0.8461840034729406
west_japan,JJ,4,0,45,2.501951939337645
west_japan,JJ,4,5,46,0.024126116545545258
west_japan,JJ,4,10,43,1.5414742324596604
west_japan,JJ,5,0,50,-0.2982362729108784
west_japan,JJ,5,5,45,0.18164173540213105
west_japan,JJ,5,10,41,0.9989360817873436
west_japan,JJ,6,0,59,-1.791890553814414
west_japan,JJ,6,5,55,-1.2113380746424178
west_japan,JJ,6,10,53,-1.0277968744780144
west_japan,JJ,7,0,60,1.171612171744349
west_japan,JJ,7,5,66,1.3760838394119173
west_japan,JJ,7,10,70,0.16654201564571033
west_japan,JJ,8,0,44,3.412593919899057
west_japan,JJ,8,5,54,-1.6976817783253084
west_japan,JJ,8,10,59,0.006104211986625387
west_japan,AUG,1,0,16,1.6717283826086586
west_japan,AUG,1,5,24,-0.3314316441098683
west_japan,AUG,1,10,29,-0.4327132573734386
west_japan,AUG,2,0,14,1.4519418220146254
west_japan,AUG,2,5,14,-1.4700387613104746
west_japan,AUG,2,10,14,-2.0585155661246066
west_japan,AUG,3,0,14,-2.099832672423456
west_japan,AUG,3,5,14,0.14407595894561293
west_japan,AUG,3,10,14,-0.4273897366645812
west_japan,AUG,4,0,14,0.7540357408053188
west_japan,AUG,4,5,13,-0.07798780621654193
west_japan,AUG,4,10,10,1.4606985534776569
west_japan,AUG,5,0,36,2.5085341973342175
west_japan,AUG,5,5,29,3.0366304733173552
west_japan,AUG,5,10,29,1.8119186261897582
west_japan,AUG,6,0,26,-0.5219530305022119
west_japan,AUG,6,5,30,0.9107486206178768
west_japan,AUG,6,10,33,1.5024990233218252
west_japan,AUG,7,0,15,2.65915316197248
west_japan,AUG,7,5,15,4.801107172791333
west_japan,AUG,7,10,20,6.171617554420526
west_japan,AUG,8,0,26,2.096099963375466
west_japan,AUG,8,5,21,2.3602325214401487
west_japan,AUG,8,10,11,2.6808090088622536
okinawa,JJA,1,0,92,-1.243180833113086
okinawa,JJA,1,5,100,-3.2094440605220234
okinawa,JJA,1,10,108,-2.245078884922248
okinawa,JJA,2,0,65,-2.80305891113219
okinawa,JJA,2,5,77,-0.7660073918855984
okinawa,JJA,2,10,89,-1.5760978934718324
okinawa,JJA,3,0,59,-0.19094105367439432
okinawa,JJA,3,5,68,-0.9575281621387328
okinawa,JJA,3,10,68,-2.743735265021592
okinawa,JJA,4,0,59,-1.7011353349648777
okinawa,JJA,4,5,59,-0.3342276341697857
okinawa,JJA,4,10,53,-0.07063596988563889
okinawa,JJA,5,0,86,-1.0083921817681876
okinawa,JJA,5,5,74,-2.077321504357597
okinawa,JJA,5,10,70,0.8175439213357426
okinawa,JJA,6,0,85,0.9618924857124205
okinawa,JJA,6,5,85,1.3614214032112428
okinawa,JJA,6,10,86,2.991562295219068
okinawa,JJA,7,0,75,1.4827922988489552
okinawa,JJA,7,5,81,4.804422108220653
okinawa,JJA,7,10,90,-0.05238214390706284
okinawa,JJA,8,0,70,2.7535154105005843
okinawa,JJA,8,5,75,-1.7766053779446929
okinawa,JJA,8,10,70,-1.9935439878479768
okinawa,JJ,1,0,76,-1.8466089390205036
okinawa,JJ,1,5,76,-3.123832751494023
okinawa,JJ,1,10,79,-3.101760017946602
okinawa,JJ,2,0,51,-2.713443235538398
okinawa,JJ,2,5,63,-1.5600575043113827
okinawa,JJ,2,10,75,-1.1203683560122528
okinawa,JJ,3,0,45,-1.2530117324043644
okinawa,JJ,3,5,54,-2.0792314058492427
okinawa,JJ,3,10,54,-2.4389592081041656
okinawa,JJ,4,0,45,-1.3368577636796128
okinawa,JJ,4,5,46,-1.0033925115315783
okinawa,JJ,4,10,43,-0.7521261091241676
okinawa,JJ,5,0,50,-3.0012092480686023
okinawa,JJ,5,5,45,-1.9386484359813616
okinawa,JJ,5,10,41,1.5513937397900586
okinawa,JJ,6,0,59,1.340959071362504
okinawa,JJ,6,5,55,1.6260630306951107
okinawa,JJ,6,10,53,3.5825736912586454
okinawa,JJ,7,0,60,1.9116436671417945
okinawa,JJ,7,5,66,4.309191109889701
okinawa,JJ,7,10,70,0.7322934097116177
okinawa,JJ,8,0,44,3.0733421349096774
okinawa,JJ,8,5,54,-1.4805576734913726
okinawa,JJ,8,10,59,-2.0045398712980007
okinawa,AUG,1,0,16,1.62310263675904
okinawa,AUG,1,5,24,-3.4805465360136916
okinawa,AUG,1,10,29,0.08863869401786756
okinawa,AUG,2,0,14,-3.129516015438372
okinawa,AUG,2,5,14,2.80721807633077
okinawa,AUG,2,10,14,-4.0175061471736475
okinawa,AUG,3,0,14,3.2228575483416195
okinawa,AUG,3,5,14,3.369041502578064
okinawa,AUG,3,10,14,-3.91930003356782
okinawa,AUG,4,0,14,-2.872027509415741
okinawa,AUG,4,5,13,2.0335865231449524
okinawa,AUG,4,10,10,2.8597715769601253
okinawa,AUG,5,0,36,1.7594093073841464
okinawa,AUG,5,5,29,-2.2925038491346608
okinawa,AUG,5,10,29,-0.21996788023559508
okinawa,AUG,6,0,26,0.10170293511306987
okinawa,AUG,6,5,30,0.8762450676247374
okinawa,AUG,6,10,33,2.0423622340679275
okinawa,AUG,7,0,15,-0.23261314564495242
okinawa,AUG,7,5,15,6.983438509207314
okinawa,AUG,7,10,20,-2.7987465651353003
okinawa,AUG,8,0,26,2.212270204851026
okinawa,AUG,8,5,21,-2.5378709012052116
okinawa,AUG,8,10,11,-1.9345659946634521
