region,season,phase,lag,n_days,anom_mean
west_japan,JJ,3,10,152,-1.2185905964120187
west_japan,JJ,4,0,159,0.2644114250823655
west_japan,JJ,4,5,156,0.40365448512882507
west_japan,JJ,4,10,155,0.43110610439099684
west_japan,JJ,5,0,168,-0.3156231717455818
west_japan,JJ,5,5,159,0.006114614304121253
west_japan,JJ,5,10,163,1.0019288333126786
west_japan,JJ,6,0,180,-1.345239508029427
west_japan,JJ,6,5,174,-0.8007354008701645
west_japan,JJ,6,10,157,-1.0715369044681347
west_japan,JJ,7,0,145,0.18788617612464129
west_japan,JJ,7,5,154,1.0447894954771233
west_japan,JJ,7,10,171,0.581329840434583
west_japan,JJ,8,0,156,3.5870170241686483
west_japan,JJ,8,5,179,0.5659508375804121
west_japan,JJ,8,10,203,0.19300857730822565
west_japan,AUG,1,0,146,1.747128725126624
west_japan,AUG,1,5,142,1.1349326863864513
west_japan,AUG,1,10,132,-0.6364300868897703
west_japan,AUG,2,0,158,0.7880744057980994
west_japan,AUG,2,5,138,-0.11197923948143183
west_japan,AUG,2,10,130,-0.5998282839609331
west_japan,AUG,3,0,56,-1.6986259065743166
west_japan,AUG,3,5,46,0.16126625633403216
west_japan,AUG,3,10,48,0.2908071666278946
west_japan,AUG,4,0,52,0.9300931684098235
west_japan,AUG,4,5,53,0.6277878867066322
west_japan,AUG,4,10,48,-1.077917930543542
west_japan,AUG,5,0,106,0.45126262097193703
west_japan,AUG,5,5,104,0.2705200403128605
west_japan,AUG,5,10,105,0.1550547088751163
west_japan,AUG,6,0,128,-2.225942669260435
west_japan,AUG,6,5,142,-1.2891057904726784
west_japan,AUG,6,10,153,0.0892097371571256
west_japan,AUG,7,0,49,0.7415605668037348
west_japan,AUG,7,5,55,1.4971860905074827
west_japan,AUG,7,10,56,4.217595639393911
west_japan,AUG,8,0,51,0.6141186619859195
west_japan,AUG,8,5,46,3.726426759072245
west_japan,AUG,8,10,39,2.7242975021133624
okinawa,JJA,1,0,520,1.0425075646731978
okinawa,JJA,1,5,541,0.3511216649571343
okinawa,JJA,1,10,530,-1.0900741848425688
okinawa,JJA,2,0,419,-1.2998009852562837
okinawa,JJA,2,5,417,-0.6541097115750021
okinawa,JJA,2,10,409,-0.7018930194002946
okinawa,JJA,3,0,207,-0.6142295314460813
okinawa,JJA,3,5,207,-1.1907892435697065
okinawa,JJA,3,10,200,-2.1344078617584374
okinawa,JJA,4,0,211,-0.24339203079810667
okinawa,JJA,4,5,209,-0.023511216330553076
okinawa,JJA,4,10,203,-0.7046655002817852
okinawa,JJA,5,0,274,-0.6052622962905487
okinawa,JJA,5,5,263,-1.0345544206460764
okinawa,JJA,5,10,268,0.3000041555700419
okinawa,JJA,6,0,308,0.44180162180636423
okinawa,JJA,6,5,316,0.253450079700424
okinawa,JJA,6,10,310,1.9710879841274345
okinawa,JJA,7,0,194,1.111483052752525
okinawa,JJA,7,5,209,3.329482158883586
okinawa,JJA,7,10,227,-0.39485915866720583
okinawa,JJA,8,0,207,1.3316972127859905
okinawa,JJA,8,5,225,0.5560957789925008
okinawa,JJA,8,10,242,0.22757889838579254
okinawa,JJ,1,0,374,0.8786140314044675
okinawa,JJ,1,5,399,0.2674556713259019
okinawa,JJ,1,10,398,-1.3127830949637471
okinawa,JJ,2,0,261,-0.7179688930599947
okinawa,JJ,2,5,279,-0.507626034645005
okinawa,JJ,2,10,279,-0.19769952102578156
okinawa,JJ,3,0,151,-1.5147145575613843
okinawa,JJ,3,5,161,-1.6307481260719185
okinawa,JJ,3,10,152,-1.801354156730212
okinawa,JJ,4,0,159,0.16461454734265074
okinawa,JJ,4,5,156,-0.6403748015938457
okinawa,JJ,4,10,155,-1.4376478366906444
okinawa,JJ,5,0,168,-1.6301429334800142
okinawa,JJ,5,5,159,-0.7733380239491954
okinawa,JJ,5,10,163,-0.12342017552221297
okinawa,JJ,6,0,180,0.6542100190688657
okinawa,JJ,6,5,174,-0.5096044229447051
okinawa,JJ,6,10,157,1.9646285488236026
okinawa,JJ,7,0,145,0.8505811384388642
okinawa,JJ,7,5,154,2.233104589934141
okinawa,JJ,7,10,171,-0.5380373046029291
okinawa,JJ,8,0,156,1.3060518704058894
okinawa,JJ,8,5,179,-0.03373848737719611
okinawa,JJ,8,10,203,0.18069858014757356
okinawa,AUG,1,0,146,1.4623444084910282
okinawa,AUG,1,5,142,0.586211310069095
okinawa,AUG,1,10,132,-0.41857306945572414
okinawa,AUG,2,0,158,-2.2609286850754358
okinawa,AUG,2,5,138,-0.9502614988819167
okinawa,AUG,2,10,130,-1.7839698375594069
okinawa,AUG,3,0,56,1.8138640139075033
okinawa,AUG,3,5,46,0.3490668369327756
okinawa,AUG,3,10,48,-3.1890779081920737
okinawa,AUG,4,0,52,-1.4909506037755962
okinawa,AUG,4,5,53,1.7921627474707231
okinawa,AUG,4,10,48,1.662256635436469
okinawa,AUG,5,0,106,1.0190768150874325
okinawa,AUG,5,5,104,-1.4339140932826784
okinawa,AUG,5,10,105,0.9573200278862806
okinawa,AUG,6,0,128,0.14310232492303668
okinawa,AUG,6,5,142,1.1884605276392752
okinawa,AUG,6,10,153,1.977716292330668
okinawa,AUG,7,0,49,1.8835397345320206
okinawa,AUG,7,5,55,6.399339347501972
okinawa,AUG,7,10,56,0.042345532885299145
okinawa,AUG,8,0,51,1.4101418017847394
okinawa,AUG,8,5,46,2.851320447031299
okinawa,AUG,8,10,39,0.47159694670843877
